EX,EM,69r0,69r2,69r8,69r32,69r128,69r512
650,"246,67",0,0,0,0,0,0
650,"251,159",0,0,0,0,0,0
650,"255,652",0,0,0,0,0,0
650,"260,149",0,0,0,0,0,0
650,"264,65",0,0,0,0,0,0
650,"269,154",0,0,0,0,0,0
650,"273,662",0,0,0,0,0,0
650,"278,174",0,0,0,0,0,0
650,"282,689",0,0,0,0,0,0
650,"287,208",0,0,0,0,0,0
650,"291,73",0,0,0,0,0,0
650,"296,256",0,0,0,0,0,0
650,"300,786",0,0,0,0,0,0
650,"305,319",0,0,0,0,0,0
650,"309,855",0,0,0,0,0,0
650,"314,395",0,0,0,0,0,0
650,"318,939",0,0,0,0,0,0
650,"323,486",0,0,0,0,0,0
650,"328,036",0,0,0,0,0,0
650,"332,59",0,0,0,0,0,0
650,"337,147",0,0,0,0,0,0
650,"341,708",0,0,0,0,0,0
650,"346,272",0,0,0,0,0,0
650,"350,839",0,0,0,0,0,0
650,"355,409",0,0,0,0,0,0
650,"359,983",0,0,0,0,0,0
650,"364,56",0,0,0,0,0,0
650,"369,14",0,0,0,0,0,0
650,"373,724",0,0,0,0,0,0
650,"378,31",0,0,0,0,0,0
650,"382,9",0,0,0,0,0,0
650,"387,493",0,0,0,0,0,0
650,"392,089",0,0,0,0,0,0
650,"396,689",0,0,0,0,0,0
650,"401,291",0,0,0,0,0,0
650,"405,896",0,0,0,0,0,0
650,"410,505",0,0,0,0,0,0
650,"415,116",0,0,0,0,0,0
650,"419,731",0,0,0,0,0,0
650,"424,348",0,0,0,0,0,0
650,"428,968",0,0,0,0,0,0
650,"433,592",0,0,0,0,0,0
650,"438,218",0,0,0,0,0,0
650,"442,847",0,0,0,0,0,0
650,"447,479",0,0,0,0,0,0
650,"452,114",0,0,0,0,0,0
650,"456,751",0,0,0,0,0,0
650,"461,392",0,0,0,0,0,0
650,"466,035",0,0,0,0,0,0
650,"470,681",0,0,0,0,0,0
650,"475,329",0,0,0,0,0,0
650,"479,98",0,0,0,0,0,0
